Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-01-11,2022-01-11,2022-02-10,SUBSCRIPTION,PAYPAL,,,PAYPAL,8.99,EUR,1.5,8.99,SALE,APPROVED,SETTLED,FR,2022-02-11
2021-12-11,2021-12-11,2022-01-10,SUBSCRIPTION,PAYPAL,,,PAYPAL,8.99,EUR,1.5,8.99,SALE,APPROVED,SETTLED,FR,2022-01-11
2021-12-11,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,8.99,SALE,APPROVED,,FR,
2021-12-11,2021-12-11,2022-01-10,SUBSCRIPTION,PAYPAL,,,PAYPAL,8.99,EUR,1.5,8.99,SALE,NEW,SETTLED,FR,2022-01-11
2021-12-11,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,8.99,SALE,NEW,,FR,
2021-11-11,2021-11-11,2021-12-10,SUBSCRIPTION,PAYPAL,,,PAYPAL,8.99,EUR,1.5,8.99,SALE,NEW,SETTLED,FR,2021-12-11
2021-11-11,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,8.99,SALE,APPROVED,,FR,
2021-11-11,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,8.99,SALE,NEW,,FR,
2021-11-11,2021-11-11,2021-12-10,SUBSCRIPTION,PAYPAL,,,PAYPAL,8.99,EUR,1.5,8.99,SALE,APPROVED,SETTLED,FR,2021-12-11
2021-10-20,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,8.99,SALE,APPROVED,,FR,
2021-10-20,2021-10-20,2021-11-19,SUBSCRIPTION,PAYPAL,,,PAYPAL,8.99,EUR,1.5,8.99,SALE,APPROVED,SETTLED,FR,2021-11-20
2021-10-20,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,8.99,SALE,NEW,,FR,
2021-10-20,2021-10-20,2021-11-19,SUBSCRIPTION,PAYPAL,,,PAYPAL,8.99,EUR,1.5,8.99,SALE,NEW,SETTLED,FR,2021-11-20
2021-09-20,2021-09-20,2021-10-19,SUBSCRIPTION,PAYPAL,,,PAYPAL,11.99,EUR,2.0,11.99,SALE,APPROVED,SETTLED,FR,2021-10-20
2021-09-20,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,11.99,SALE,NEW,,FR,
2021-09-20,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,11.99,SALE,APPROVED,,FR,
2021-09-20,2021-09-20,2021-10-19,SUBSCRIPTION,PAYPAL,,,PAYPAL,11.99,EUR,2.0,11.99,SALE,NEW,SETTLED,FR,2021-10-20
2021-08-20,2021-08-20,2021-09-19,SUBSCRIPTION,PAYPAL,,,PAYPAL,11.99,EUR,2.0,11.99,SALE,NEW,SETTLED,FR,2021-09-20
2021-08-20,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,11.99,SALE,APPROVED,,FR,
2021-08-20,,,payment_transaction,PAYPAL,B-96444661RS6395242,,,,EUR,,11.99,SALE,NEW,,FR,
2021-08-20,2021-08-20,2021-09-19,SUBSCRIPTION,PAYPAL,,,PAYPAL,11.99,EUR,2.0,11.99,SALE,APPROVED,SETTLED,FR,2021-09-20
